Date,Light active minutes
09/30/20 00:00:00,117
10/01/2020 00:00,128
10/02/2020 00:00,44
10/03/2020 00:00,60
10/04/2020 00:00,45
10/05/2020 00:00,50
10/06/2020 00:00,44
10/07/2020 00:00,46
10/08/2020 00:00,49
10/09/2020 00:00,37
10/10/2020 00:00,41
10/11/2020 00:00,21
10/12/2020 00:00,69
10/13/20 00:00:00,45
10/14/20 00:00:00,39
10/15/20 00:00:00,72
10/16/20 00:00:00,50
10/17/20 00:00:00,67
10/18/20 00:00:00,62
10/19/20 00:00:00,49
10/20/20 00:00:00,61
10/21/20 00:00:00,41
10/22/20 00:00:00,34
10/23/20 00:00:00,31
10/24/20 00:00:00,56
10/25/20 00:00:00,64
10/26/20 00:00:00,53
10/27/20 00:00:00,89
10/28/20 00:00:00,50
10/29/20 00:00:00,43
10/30/20 00:00:00,69
10/31/20 00:00:00,93
11/01/2020 00:00,15
11/02/2020 00:00,94
11/03/2020 00:00,56
11/04/2020 00:00,92
11/05/2020 00:00,121
11/06/2020 00:00,66
11/07/2020 00:00,52
11/08/2020 00:00,17
11/09/2020 00:00,62
11/10/2020 00:00,99
11/11/2020 00:00,83
11/12/2020 00:00,51
11/13/20 00:00:00,55
11/14/20 00:00:00,73
11/15/20 00:00:00,41
11/16/20 00:00:00,47
11/17/20 00:00:00,63
11/18/20 00:00:00,42
11/19/20 00:00:00,52
11/20/20 00:00:00,80
11/21/20 00:00:00,60
11/22/20 00:00:00,31
11/23/20 00:00:00,72
11/24/20 00:00:00,131
11/25/20 00:00:00,62
11/26/20 00:00:00,135
11/27/20 00:00:00,71
11/28/20 00:00:00,95
11/29/20 00:00:00,71
11/30/20 00:00:00,68
12/01/2020 00:00,56
12/02/2020 00:00,100
12/03/2020 00:00,136
12/04/2020 00:00,125
12/05/2020 00:00,82
12/06/2020 00:00,112
12/07/2020 00:00,118
12/08/2020 00:00,125
12/09/2020 00:00,92
12/10/2020 00:00,103
12/11/2020 00:00,108
12/12/2020 00:00,82
12/13/20 00:00:00,73
12/14/20 00:00:00,78
12/15/20 00:00:00,53
12/16/20 00:00:00,40
12/17/20 00:00:00,70
12/18/20 00:00:00,38
12/19/20 00:00:00,83
12/20/20 00:00:00,56
12/21/20 00:00:00,88
12/22/20 00:00:00,102
12/23/20 00:00:00,119
12/24/20 00:00:00,121
12/25/20 00:00:00,39
12/26/20 00:00:00,86
12/27/20 00:00:00,34
12/28/20 00:00:00,16
12/29/20 00:00:00,95
12/30/20 00:00:00,95
12/31/20 00:00:00,108
01/01/2021 00:00,54
01/02/2021 00:00,48
01/03/2021 00:00,59
01/04/2021 00:00,92
01/05/2021 00:00,57
01/06/2021 00:00,75
01/07/2021 00:00,75
01/08/2021 00:00,37
01/09/2021 00:00,49
01/10/2021 00:00,120
01/11/2021 00:00,33
01/12/2021 00:00,79
01/13/21 00:00:00,51
01/14/21 00:00:00,60
01/15/21 00:00:00,102
01/16/21 00:00:00,35
01/17/21 00:00:00,64
01/18/21 00:00:00,149
01/19/21 00:00:00,85
01/20/21 00:00:00,79
01/21/21 00:00:00,85
01/22/21 00:00:00,122
01/23/21 00:00:00,76
01/24/21 00:00:00,26
01/25/21 00:00:00,12
01/26/21 00:00:00,44
01/27/21 00:00:00,51
01/28/21 00:00:00,63
01/29/21 00:00:00,71
01/30/21 00:00:00,85
01/31/21 00:00:00,28
02/01/2021 00:00,69
02/02/2021 00:00,23
02/03/2021 00:00,66
02/04/2021 00:00,69
02/05/2021 00:00,48
02/06/2021 00:00,59
02/07/2021 00:00,67
02/08/2021 00:00,53
02/09/2021 00:00,12
02/10/2021 00:00,51
02/11/2021 00:00,96
02/12/2021 00:00,57
02/13/21 00:00:00,54
02/14/21 00:00:00,46
02/15/21 00:00:00,80
02/16/21 00:00:00,34
02/17/21 00:00:00,77
02/18/21 00:00:00,53
02/19/21 00:00:00,87
02/20/21 00:00:00,118
02/21/21 00:00:00,67
02/22/21 00:00:00,50
02/23/21 00:00:00,65
02/24/21 00:00:00,124
02/25/21 00:00:00,110
02/26/21 00:00:00,47
