Date,Time in Heartrate zone
09/29/20 00:00:00,"{""valuesInZones"":{""IN_DEFAULT_ZONE_2"":3,""BELOW_DEFAULT_ZONE_1"":1210,""IN_DEFAULT_ZONE_1"":161,""IN_DEFAULT_ZONE_3"":2}}"
09/30/20 00:00:00,"{""valuesInZones"":{""BELOW_DEFAULT_ZONE_1"":1249,""IN_DEFAULT_ZONE_2"":6,""IN_DEFAULT_ZONE_3"":3,""IN_DEFAULT_ZONE_1"":153}}"
10/01/2020 00:00,"{""valuesInZones"":{""BELOW_DEFAULT_ZONE_1"":1294,""IN_DEFAULT_ZONE_2"":1,""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_1"":100}}"
10/02/2020 00:00,"{""valuesInZones"":{""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_1"":21,""BELOW_DEFAULT_ZONE_1"":1255,""IN_DEFAULT_ZONE_2"":0}}"
10/03/2020 00:00,"{""valuesInZones"":{""IN_DEFAULT_ZONE_1"":58,""IN_DEFAULT_ZONE_3"":1,""IN_DEFAULT_ZONE_2"":2,""BELOW_DEFAULT_ZONE_1"":1369}}"
10/04/2020 00:00,"{""valuesInZones"":{""BELOW_DEFAULT_ZONE_1"":1418,""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_2"":0,""IN_DEFAULT_ZONE_1"":19}}"
10/05/2020 00:00,"{""valuesInZones"":{""IN_DEFAULT_ZONE_1"":15,""BELOW_DEFAULT_ZONE_1"":1387,""IN_DEFAULT_ZONE_2"":0,""IN_DEFAULT_ZONE_3"":0}}"
10/06/2020 00:00,"{""valuesInZones"":{""BELOW_DEFAULT_ZONE_1"":1374,""IN_DEFAULT_ZONE_2"":0,""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_1"":20}}"
10/07/2020 00:00,"{""valuesInZones"":{""BELOW_DEFAULT_ZONE_1"":1407,""IN_DEFAULT_ZONE_2"":0,""IN_DEFAULT_ZONE_1"":24,""IN_DEFAULT_ZONE_3"":0}}"
10/08/2020 00:00,"{""valuesInZones"":{""BELOW_DEFAULT_ZONE_1"":1271,""IN_DEFAULT_ZONE_1"":60,""IN_DEFAULT_ZONE_2"":5,""IN_DEFAULT_ZONE_3"":0}}"
10/09/2020 00:00,"{""valuesInZones"":{""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_2"":0,""BELOW_DEFAULT_ZONE_1"":1430,""IN_DEFAULT_ZONE_1"":2}}"
10/10/2020 00:00,"{""valuesInZones"":{""IN_DEFAULT_ZONE_2"":0,""BELOW_DEFAULT_ZONE_1"":1429,""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_1"":7}}"
10/12/2020 00:00,"{""valuesInZones"":{""IN_DEFAULT_ZONE_1"":37,""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_2"":0,""BELOW_DEFAULT_ZONE_1"":1373}}"
10/11/2020 00:00,"{""valuesInZones"":{""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_2"":0,""BELOW_DEFAULT_ZONE_1"":1439,""IN_DEFAULT_ZONE_1"":1}}"
10/13/20 00:00:00,"{""valuesInZones"":{""BELOW_DEFAULT_ZONE_1"":1399,""IN_DEFAULT_ZONE_2"":0,""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_1"":17}}"
10/14/20 00:00:00,"{""valuesInZones"":{""BELOW_DEFAULT_ZONE_1"":1176,""IN_DEFAULT_ZONE_2"":5,""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_1"":57}}"
10/15/20 00:00:00,"{""valuesInZones"":{""BELOW_DEFAULT_ZONE_1"":1324,""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_1"":47,""IN_DEFAULT_ZONE_2"":8}}"
10/16/20 00:00:00,"{""valuesInZones"":{""BELOW_DEFAULT_ZONE_1"":1412,""IN_DEFAULT_ZONE_2"":0,""IN_DEFAULT_ZONE_3"":0,""IN_DEFAULT_ZONE_1"":23}}"
