Date,Very active minutes
09/30/20 00:00:00,73
10/01/2020 00:00,31
10/02/2020 00:00,7
10/03/2020 00:00,24
10/04/2020 00:00,0
10/05/2020 00:00,0
10/06/2020 00:00,0
10/07/2020 00:00,0
10/08/2020 00:00,38
10/09/2020 00:00,0
10/10/2020 00:00,0
10/11/2020 00:00,0
10/12/2020 00:00,0
10/13/20 00:00:00,0
10/14/20 00:00:00,50
10/15/20 00:00:00,0
10/16/20 00:00:00,0
10/17/20 00:00:00,0
10/18/20 00:00:00,0
10/19/20 00:00:00,0
10/20/20 00:00:00,0
10/21/20 00:00:00,0
10/22/20 00:00:00,45
10/23/20 00:00:00,0
10/24/20 00:00:00,0
10/25/20 00:00:00,0
10/26/20 00:00:00,0
10/27/20 00:00:00,38
10/28/20 00:00:00,0
10/29/20 00:00:00,0
10/30/20 00:00:00,0
10/31/20 00:00:00,1
11/01/2020 00:00,0
11/02/2020 00:00,48
11/03/2020 00:00,0
11/04/2020 00:00,94
11/05/2020 00:00,0
11/06/2020 00:00,0
11/07/2020 00:00,36
11/08/2020 00:00,0
11/09/2020 00:00,0
11/10/2020 00:00,40
11/11/2020 00:00,75
11/12/2020 00:00,6
11/13/20 00:00:00,0
11/14/20 00:00:00,0
11/15/20 00:00:00,0
11/16/20 00:00:00,99
11/17/20 00:00:00,29
11/18/20 00:00:00,0
11/19/20 00:00:00,0
11/20/20 00:00:00,39
11/21/20 00:00:00,47
11/22/20 00:00:00,0
11/23/20 00:00:00,35
11/24/20 00:00:00,13
11/25/20 00:00:00,13
11/26/20 00:00:00,0
11/27/20 00:00:00,0
11/28/20 00:00:00,77
11/29/20 00:00:00,0
11/30/20 00:00:00,0
12/01/2020 00:00,0
12/02/2020 00:00,19
12/03/2020 00:00,7
12/04/2020 00:00,22
12/05/2020 00:00,0
12/06/2020 00:00,54
12/07/2020 00:00,5
12/08/2020 00:00,103
12/09/2020 00:00,0
12/10/2020 00:00,10
12/11/2020 00:00,67
12/12/2020 00:00,0
12/13/20 00:00:00,0
12/14/20 00:00:00,1
12/15/20 00:00:00,15
12/16/20 00:00:00,16
12/17/20 00:00:00,26
12/18/20 00:00:00,0
12/19/20 00:00:00,0
12/20/20 00:00:00,0
12/21/20 00:00:00,0
12/22/20 00:00:00,0
12/23/20 00:00:00,19
12/24/20 00:00:00,43
12/25/20 00:00:00,0
12/26/20 00:00:00,0
12/27/20 00:00:00,0
12/28/20 00:00:00,0
12/29/20 00:00:00,17
12/30/20 00:00:00,1
12/31/20 00:00:00,0
01/01/2021 00:00,17
01/02/2021 00:00,4
01/03/2021 00:00,0
01/04/2021 00:00,0
01/05/2021 00:00,0
01/06/2021 00:00,0
01/07/2021 00:00,87
01/08/2021 00:00,5
01/09/2021 00:00,8
01/10/2021 00:00,0
01/11/2021 00:00,0
01/12/2021 00:00,2
01/13/21 00:00:00,0
01/14/21 00:00:00,0
01/15/21 00:00:00,43
01/16/21 00:00:00,0
01/17/21 00:00:00,0
01/18/21 00:00:00,0
01/19/21 00:00:00,8
01/20/21 00:00:00,89
01/21/21 00:00:00,0
01/22/21 00:00:00,0
01/23/21 00:00:00,0
01/24/21 00:00:00,0
01/25/21 00:00:00,0
01/26/21 00:00:00,0
01/27/21 00:00:00,0
01/28/21 00:00:00,16
01/29/21 00:00:00,37
01/30/21 00:00:00,1
01/31/21 00:00:00,0
02/01/2021 00:00,0
02/02/2021 00:00,0
02/03/2021 00:00,0
02/04/2021 00:00,17
02/05/2021 00:00,0
02/06/2021 00:00,0
02/07/2021 00:00,0
02/08/2021 00:00,0
02/09/2021 00:00,0
02/10/2021 00:00,0
02/11/2021 00:00,87
02/12/2021 00:00,0
02/13/21 00:00:00,0
02/14/21 00:00:00,0
02/15/21 00:00:00,0
02/16/21 00:00:00,0
02/17/21 00:00:00,0
02/18/21 00:00:00,0
02/19/21 00:00:00,0
02/20/21 00:00:00,16
02/21/21 00:00:00,0
02/22/21 00:00:00,5
02/23/21 00:00:00,0
02/24/21 00:00:00,5
02/25/21 00:00:00,43
02/26/21 00:00:00,0
