sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
31521596053,2021-03-29T08:13:30Z,80,22,16,42,97,62,0.11400247831474597
31505711250,2021-03-28T06:57:00Z,72,21,15,36,56,62,0.10329985652797705
31495799403,2021-03-27T09:20:30Z,86,24,19,43,132,62,0.08571428571428572
31468046716,2021-03-25T07:29:00Z,74,18,15,41,108,62,0.1248642779587405
31457223919,2021-03-24T08:52:00Z,85,23,16,46,107,62,0.09741550695825049
31443292652,2021-03-23T09:12:00Z,79,20,18,41,86,62,0.088139281828074
31427790805,2021-03-22T08:31:00Z,82,18,18,46,95,62,0.0755750273822563
31413399692,2021-03-21T09:29:00Z,91,23,21,47,117,63,0.07249255213505462
31398501427,2021-03-20T09:37:00Z,82,21,17,44,81,62,0.09169054441260745
31386445088,2021-03-19T09:07:30Z,87,21,21,45,59,63,0.08463949843260188
31356184140,2021-03-17T08:53:00Z,80,23,12,45,115,62,0.1441899915182358
31338810961,2021-03-16T08:06:30Z,82,22,15,45,93,62,0.135678391959799
31328993012,2021-03-15T07:52:00Z,80,21,14,45,100,61,0.109072375127421
31316437261,2021-03-14T10:24:30Z,85,23,18,44,122,61,0.0872210953346856
31308514589,2021-03-13T09:50:00Z,83,24,14,45,129,61,0.12013256006628004
31285270042,2021-03-12T06:59:30Z,71,21,11,39,56,59,0.12863705972434916
31216781390,2021-03-07T09:13:00Z,82,20,18,44,107,58,0.10835913312693499
31210194664,2021-03-06T11:59:30Z,78,20,19,39,63,59,0.0718954248366013
31190931599,2021-03-05T09:33:30Z,86,22,18,46,99,60,0.0998980632008155
31177743927,2021-03-04T09:01:30Z,83,23,14,46,107,60,0.09566968781470292
31150655859,2021-03-02T09:08:00Z,81,19,18,44,68,60,0.09400179051029543
31130241289,2021-03-01T08:26:00Z,88,22,20,46,101,61,0.09601634320735444
31124563285,2021-02-28T11:05:30Z,89,22,21,46,90,63,0.08880666049953746
31106195700,2021-02-27T11:03:00Z,87,23,22,42,114,65,0.0843644544431946
31090029508,2021-02-26T10:49:30Z,81,22,13,46,86,64,0.15611448395490027
31077921198,2021-02-25T07:15:30Z,77,22,15,40,95,64,0.1009421265141319
31063878577,2021-02-24T08:45:00Z,83,23,14,46,109,64,0.11598746081504702
31045999536,2021-02-23T07:32:30Z,82,22,15,45,103,63,0.10844629822732013
31032151347,2021-02-22T08:37:30Z,81,19,18,44,79,63,0.08644222020018198
31019821584,2021-02-21T11:55:00Z,87,24,17,46,126,63,0.07677902621722846
31005087294,2021-02-20T10:23:30Z,88,23,21,44,121,64,0.09787626962142197
30989356617,2021-02-19T04:02:00Z,81,22,20,39,105,64,0.08977900552486189
30976812379,2021-02-18T07:32:30Z,83,21,19,43,88,64,0.09710982658959537
